"Uni"	"City"
"New York Academy of Art"	"New York, NY"
"New York Automotive & Diesel Institute"	"Jamaica, NY"
"New York Chiropractic College"	"Seneca Falls, NY"
"New York College of Health Professions"	"Syosset, NY"
"New York College of Podiatric Medicine"	"New York, NY"
"New York College of Traditional Chinese Medicine"	"Mineola, NY"
"New York Law School"	"New York, NY"
"New York Medical College"	"Valhalla, NY"
"New York Methodist Hospital Center for Allied Health Education"	"Brooklyn, NY"
"New York School of Interior Design"	"New York, NY"
"Newberry College"	"Newberry, SC"
"Newberry School of Beauty"	"Granada Hills, CA"
"Newman University"	"Wichita, KS"
"Newschool of Architecture and Design"	"San Diego, CA"
"NHTI-Concord's Community College"	"Concord, NH"
"Niagara County Community College"	"Sanborn, NY"
"Niagara University"	"Niagara University, NY"
"Nicholls State University"	"Thibodaux, LA"
"Nichols College"	"Dudley, MA"
"Nicolet Area Technical College"	"Rhinelander, WI"
"Nightingale College"	"Ogden, UT"
"Norco College"	"Norco, CA"
"Normandale Community College"	"Bloomington, MN"
"North Adrians Beauty College"	"Modesto, CA"
"North American College"	"Houston, TX"
"North Arkansas College"	"Harrison, AR"
"North Bennet Street School"	"Boston, MA"
"North Carolina A&T State University"	"Greensboro, NC"
"North Carolina Central University"	"Durham, NC"
"North Carolina State University"	"Raleigh, NC"
"North Central College"	"Naperville, IL"
"North Central Michigan College"	"Petoskey, MI"
"North Central Missouri College"	"Trenton, MO"
"North Central State College"	"Mansfield, OH"
"North Central Texas College"	"Gainesville, TX"
"North Central University"	"Minneapolis, MN"
"The North Coast College"	"Lakewood, OH"
"North Country Community College"	"Saranac Lake, NY"
"North Dakota State College of Science"	"Wahpeton, ND"
"North Dakota State University - Main Campus"	"Fargo, ND"
"North Florida Community College"	"Madison, FL"
"North Florida Cosmetology Institute Inc"	"Tallahassee, FL"
"North Greenville University"	"Tigerville, SC"
"North Hennepin Community College"	"Brooklyn Park, MN"
"North Idaho College"	"Coeur d'Alene, ID"
"North Iowa Area Community College"	"Mason City, IA"
"North Lake College"	"Irving, TX"
"North Park University-Chicago"	"Chicago, IL"
"North Seattle College"	"Seattle, WA"
"Northampton County Area Community College"	"Bethlehem, PA"
"Northcentral Technical College"	"Wausau, WI"
"Northcoast Medical Training Academy"	"Kent, OH"
"Northeast Alabama Community College"	"Rainsville, AL"
"Northeast Community College"	"Norfolk, NE"
"Northeast Iowa Community College-Calmar"	"Calmar, IA"
"Northeast Mississippi Community College"	"Booneville, MS"
"Northeast Ohio Medical University"	"Rootstown, OH"
"Northeast State Community College"	"Blountville, TN"
"Northeast Technical Institute"	"Scarborough, ME"
"Northeast Technology Center-Afton"	"Afton, OK"
"Northeast Technology Center-Kansas"	"Kansas, OK"
"Northeast Technology Center-Pryor"	"Pryor, OK"
"Northeast Technology CenterClaremore"	"Claremore, OK"
"Northeast Texas Community College"	"Mount Pleasant, TX"
"Northeast Wisconsin Technical College"	"Green Bay, WI"
"Northeastern Illinois University"	"Chicago, IL"
"Northeastern Junior College"	"Sterling, CO"
"Northeastern Oklahoma A&M College"	"Miami, OK"
"Northeastern State University"	"Tahlequah, OK"
"Northeastern Technical College"	"Cheraw, SC"
"Northeastern University Global Network"	"Boston, MA"
"Northern Baptist Theological Seminary"	"Lombard, IL"
"Northern Maine Community College"	"Presque Isle, ME"
"Northern Michigan University"	"Marquette, MI"
"Northern New Mexico College"	"Espanola, NM"
"Northern Oklahoma College"	"Tonkawa, OK"
"Northern State University"	"Aberdeen, SD"
"Northern Vermont University"	"Johnson, VT"
"Northern Virginia Community College"	"Annandale, VA"
"Northhaven Academy"	"North Haven, CT"
"Northland College"	"Ashland, WI"
"Northshore Technical Community College"	"Bogalusa, LA"
"NorthWest Arkansas Community College"	"Bentonville, AR"
"Northwest Career College"	"Las Vegas, NV"
"Northwest College - WY"	"Powell, WY"
"Northwest Educational Center"	"Houston, TX"
"Northwest Indian College"	"Bellingham, WA"
"Northwest Iowa Community College"	"Sheldon, IA"
"Northwest Kansas Technical College"	"Goodland, KS"
"Northwest Louisiana Technical College"	"Minden, LA"
"Northwest Mississippi Community College"	"Senatobia, MS"
"Northwest Nazarene University"	"Nampa, ID"
"Northwest State Community College"	"Archbold, OH"
"Northwest Technical College"	"Bemidji, MN"
"Northwest Technical Institute - AR"	"Springdale, AR"
"Northwest University"	"Kirkland, WA"
"Northwest Vista College"	"San Antonio, TX"
"Northwestern College - IA"	"Orange City, IA"
"Northwestern Connecticut Community College"	"Winsted, CT"
"Northwestern Health Sciences University"	"Bloomington, MN"
"Northwestern Michigan College"	"Traverse City, MI"
"Northwestern Oklahoma State University"	"Alva, OK"
"Northwestern Polytechnic University"	"Fremont, CA"
"Northwestern State University of Louisiana"	"Natchitoches, LA"
"Northwestern Technological Institute"	"Southfield, MI"
"Northwood University-Michigan"	"Midland, MI"
"Norwalk Community College"	"Norwalk, CT"
"Notre Dame College"	"Cleveland, OH"
"Notre Dame of Maryland University"	"Baltimore, MD"
"Nouvelle Institute"	"Miami, FL"
"NRI Institute of Health Sciences"	"Royal Palm Beach, FL"
"NTMA Training Centers of Southern California"	"Santa Fe Springs, CA"
"Nueta Hidatsa Sahnish College"	"New Town, ND"
"Nunez Community College"	"Chalmette, LA"
"Nyack College"	"Nyack, NY"
"O C Collins Career Center"	"Chesapeake, OH"
"Oak Hills Christian College"	"Bemidji, MN"
"Oakland City University"	"Oakland City, IN"
"Oakland University"	"Rochester Hills, MI"
"Oakwood University"	"Huntsville, AL"
"Oberlin College"	"Oberlin, OH"
"Occidental College"	"Los Angeles, CA"
"Ocean County Vocational-Technical School"	"Toms River, NJ"
"Oconee Fall Line Technical College"	"Sandersville, GA"
"Odessa College"	"Odessa, TX"
"Ogden-Weber Applied Technology College"	"Ogden, UT"
"Ogeechee Technical College"	"Statesboro, GA"
"Oglala Lakota College"	"Kyle, SD"
"Ogle School Hair Skin Nails-Denton"	"Denton, TX"
"Ogle School Hair Skin Nails-North Dallas"	"Dallas, TX"
"Ogle School Hair Skin Nails-San Antonio"	"San Antonio, TX"
"Oglethorpe University"	"Atlanta, GA"
"Ohio Dominican University"	"Columbus, OH"
"Ohio Northern University"	"Ada, OH"
"Ohio State Beauty Academy"	"Lima, OH"
"Ohio State University - Main Campus"	"Columbus, OH"
"Ohio State University Agricultural Technical Institute"	"Wooster, OH"
"Ohio State University-Lima Campus"	"Lima, OH"
"Ohio State University-Mansfield Campus"	"Mansfield, OH"
"Ohio State University-Marion Campus"	"Marion, OH"
"Ohio State University-Newark Campus"	"Newark, OH"
"Ohio Technical College"	"Cleveland, OH"
"Ohio University - Zanesville Campus"	"Zanesville, OH"
"Ohio University-Chillicothe Campus"	"Chillicothe, OH"
"Ohio University-Eastern Campus"	"St. Clairsville, OH"
"Ohio University-Lancaster Campus"	"Lancaster, OH"
"Ohio University-Southern Campus"	"Ironton, OH"
"Ohio Valley University"	"Vienna, WV"
"Ohio Wesleyan University"	"Delaware, OH"
"Ohlone College"	"Fremont, CA"
"Oklahoma Baptist University"	"Shawnee, OK"
"Oklahoma Christian University"	"Edmond, OK"
"Oklahoma City Community College"	"Oklahoma City, OK"
"Oklahoma City University"	"Oklahoma City, OK"
"Oklahoma Panhandle State University"	"Goodwell, OK"
"Oklahoma State University - Main Campus"	"Stillwater, OK"
"Oklahoma State University - Oklahoma City"	"Oklahoma City, OK"
"Oklahoma State University Center for Health Sciences"	"Tulsa, OK"
"Oklahoma State University Institute of Technology"	"Okmulgee, OK"
"Oklahoma Technical College"	"Tulsa, OK"
"Oklahoma Wesleyan University"	"Bartlesville, OK"
"Old Dominion University"	"Norfolk, VA"
"Oliver Finley Academy of Cosmetology"	"Boise, ID"
"Olivet College"	"Olivet, MI"
"Olney Central College"	"Olney, IL"
"Olympian University of Cosmetology"	"Alamogordo, NM"
"Omnitech Institute"	"Decatur, GA"
"Onondaga Community College"	"Syracuse, NY"
"Onondaga Cortland Madison BOCES"	"Liverpool, NY"
"Oral Roberts University"	"Tulsa, OK"
"Orange Coast College"	"Costa Mesa, CA"
"Orange County Community College"	"Middletown, NY"
"Orange Technical College-Mid Florida Campus"	"Orlando, FL"
"Orangeburg Calhoun Technical College"	"Orangeburg, SC"
"Oregon Coast Community College"	"Newport, OR"
"Oregon College of Oriental Medicine"	"Portland, OR"
"Oregon Culinary Institute"	"Portland, OR"
"Oregon Health & Science University"	"Portland, OR"
"Oregon Institute of Technology"	"Klamath Falls, OR"
"Oregon State University"	"Corvallis, OR"
"Orlando Tech"	"Orlando, FL"
"Orleans Technical Institute"	"Philadelphia, PA"
"Orlo School of Hair Design and Cosmetology"	"Albany, NY"
"Otero Junior College"	"La Junta, CO"
"Otis College of Art and Design"	"Los Angeles, CA"
"Ottawa University Online"	"Ottawa, KS"
"Otterbein University"	"Westerville, OH"
"Ouachita Baptist University"	"Arkadelphia, AR"
"Owens Community College"	"Perrysburg, OH"
"Owensboro Community and Technical College"	"Owensboro, KY"
"Oxford Graduate School"	"Dayton, TN"
"Oxnard College"	"Oxnard, CA"
"Ozarka College"	"Melbourne, AR"
"Ozarks Technical Community College"	"Springfield, MO"
"P B Cosmetology Education Center"	"Gloucester, NJ"
"P&A Scholars Beauty School"	"Detroit, MI"
"Pace University"	"New York, NY"
"Pacific Lutheran University"	"Tacoma, WA"
"Pacific Northwest College of Art"	"Portland, OR"
"Pacific Northwest University of Health Sciences"	"Yakima, WA"
"Pacific Rim Christian College"	"Honolulu, HI"
"Pacific States University"	"Los Angeles, CA"
"Pacific Union College"	"Angwin, CA"
"Pacific University"	"Forest Grove, OR"
"Pacifica Graduate Institute"	"Carpinteria, CA"
"Paier College of Art Inc"	"Hamden, CT"
"Paine College"	"Augusta, GA"
"Palace Beauty College"	"Los Angeles, CA"
"Palm Beach Academy of Health & Beauty"	"Lake Park, FL"
"Palmer College of Chiropractic-Davenport"	"Davenport, IA"
"Palo Alto College"	"San Antonio, TX"
"Palo Alto University"	"Palo Alto, CA"
"Palo Verde College"	"Blythe, CA"
"Palomar College"	"San Marcos, CA"
"Palomar Institute of Cosmetology"	"San Marcos, CA"
"Pamlico Community College"	"Grantsboro, NC"
"Panola College"	"Carthage, TX"
"Paradise Valley Community College"	"Phoenix, AZ"
"Paramount Beauty Academy"	"Portsmouth, OH"
"Paris Junior College"	"Paris, TX"
"Parisian Beauty School"	"Hackensack, NJ"
"Park University"	"Parkville, MO"
"Parker University"	"Dallas, TX"
"Paroba College"	"Everett, WA"
"Pasadena City College"	"Pasadena, CA"
"Pasco-Hernando State College"	"New Port Richey, FL"
"Passaic County Community College"	"Paterson, NJ"
"Patrick Henry Community College"	"Martinsville, VA"
"Paul D Camp Community College"	"Franklin, VA"
"Paul Mitchell The School Honolulu"	"Honolulu, HI"
"Paul Mitchell The School Indianapolis"	"Indianapolis, IN"
"Paul Mitchell the School Las Vegas"	"Las Vegas, NV"
"Paul Mitchell The School Raleigh"	"Raleigh, NC"
"Paul Mitchell The School Reno"	"Reno, NV"
"Paul Mitchell The School Spokane"	"Spokane Valley, WA"
"Paul Mitchell The School-Arlington"	"Arlington, TX"
"Paul Mitchell The School-Charleston"	"North Charleston, SC"
"Paul Mitchell The School-Columbia"	"Columbia, SC"
"Paul Mitchell the School-Denver"	"Lakewood, CO"
"Paul Mitchell the School-Fort Myers"	"Fort Myers, FL"
"Paul Mitchell the School-Jersey Shore"	"Brick, NJ"
"Paul Mitchell The School-Overland Park"	"Overland Park, KS"
"Paul Mitchell the School-Portland"	"Portland, OR"
"Paul Mitchell the School-Woodbridge"	"Woodbridge, VA"
"Paul Quinn College"	"Dallas, TX"
"Paul Smiths College of Arts and Science"	"Paul Smiths, NY"
"PCI College"	"Cerritos, CA"
"Pearl River Community College"	"Poplarville, MS"
"Peirce College"	"Philadelphia, PA"
"Pellissippi State Community College"	"Knoxville, TN"
"Peninsula College"	"Port Angeles, WA"
"Penn Commercial Business School"	"Washington, PA"
"Pennsylvania Academy of the Fine Arts"	"Philadelphia, PA"
"Pennsylvania College of Art and Design"	"Lancaster, PA"
"Pennsylvania College of Health Sciences"	"Lancaster, PA"
"Pennsylvania College of Technology"	"Williamsport, PA"
"Pennsylvania Highlands Community College"	"Johnstown, PA"
"Pennsylvania Institute of Health and Technology"	"Mount Braddock, PA"
"Pennsylvania Institute of Technology"	"Media, PA"
"Pennsylvania State University"	"State College, PA"
"Pennsylvania State University - World Campus"	"University Park, PA"
"Pennsylvania State University-Brandywine"	"Media, PA"
"Pennsylvania State University-College of Medicine"	"Hershey, PA"
"Pennsylvania State University-Dickinson Law"	"Carlisle, PA"
"Pennsylvania State University-Penn State Abington"	"Abington, PA"
"Pennsylvania State University-Penn State Altoona"	"Altoona, PA"
"Pennsylvania State University-Penn State Beaver"	"Monaca, PA"
"Pennsylvania State University-Penn State Berks"	"Reading, PA"
"Pennsylvania State University-Penn State Dubois"	"Dubois, PA"
"Pennsylvania State University-Penn State Erie-Behrend College"	"Erie, PA"
"Pennsylvania State University-Penn State Fayette- Eberly Campus"	"Uniontown, PA"
"Pennsylvania State University-Penn State Great Valley"	"Malvern, PA"
"Pennsylvania State University-Penn State Greater Allegheny"	"McKeesport, PA"
"Pennsylvania State University-Penn State Harrisburg"	"Middletown, PA"
"Pennsylvania State University-Penn State Hazleton"	"Hazleton, PA"
"Pennsylvania State University-Penn State Lehigh Valley"	"Center Valley, PA"
"Pennsylvania State University-Penn State Mont Alto"	"Mont Alto, PA"
"Pennsylvania State University-Penn State New Kensington"	"Upper Burrell, PA"
"Pennsylvania State University-Penn State Schuylkill"	"Schuylkill Haven, PA"
"Pennsylvania State University-Penn State Shenango"	"Sharon, PA"
"Pennsylvania State University-Penn State Wilkes-Barre"	"Lehman, PA"
"Pennsylvania State University-Penn State Worthington Scranton"	"Dunmore, PA"
"Pennsylvania State University-Penn State York"	"York, PA"
"PennWest California"	"California, PA"
"Penrose Academy"	"Scottsdale, AZ"
"Pensacola State College"	"Pensacola, FL"
"Penta County Joint Vocational School"	"Perrysburg, OH"
"Pentecostal Theological Seminary"	"Cleveland, TN"
"Perry Technical Institute"	"Yakima, WA"
"Peru State College"	"Peru, NE"
"Pfeiffer University"	"Misenheimer, NC"
"Philadelphia College of Osteopathic Medicine"	"Philadelphia, PA"
"Philadelphia University"	"Philadelphia, PA"
"Philander Smith College"	"Little Rock, AR"
"Phillips Beth Israel School of Nursing"	"New York, NY"
"Phillips Community College of the University of Arkansas"	"Helena, AR"
"Phoenix College"	"Phoenix, AZ"
"Phoenix Institute of Herbal Medicine & Acupuncture"	"Phoenix, AZ"
"Phoenix Seminary"	"Phoenix, AZ"
"Pickaway Ross Joint Vocational School District"	"Chillicothe, OH"
"Pickens Technical College"	"Aurora, CO"
"Piedmont College"	"Demorest, GA"
"Piedmont Community College"	"Roxboro, NC"
"Piedmont Virginia Community College"	"Charlottesville, VA"
"Pierce College at Puyallup"	"Puyallup, WA"
"Pierpont Community and Technical College"	"Fairmont, WV"
"Pike County Joint Vocational School District"	"Piketon, OH"
"Pima Community College"	"Tucson, AZ"
"Pine Manor College"	"Chestnut Hill, MA"
"Pine Technical College"	"Pine City, MN"
"Pinellas Technical College-Clearwater"	"Clearwater, FL"
"Pinellas Technical College-St Petersburg"	"St. Petersburg, FL"
"Pioneer Career and Technology Center"	"Shelby, OH"
"Pioneer Technology Center"	"Ponca City, OK"
"Pitt Community College"	"Winterville, NC"
"Pittsburgh Institute of Aeronautics"	"West Mifflin, PA"
"Pittsburgh Technical College"	"Oakdale, PA"
"Pitzer College"	"Claremont, CA"
"Platt College-Aurora"	"Aurora, CO"
"Platt College-Riverside"	"Riverside, CA"
"Plymouth State University"	"Plymouth, NH"
"Point Loma Nazarene University"	"San Diego, CA"
"Point Park University"	"Pittsburgh, PA"
"Polaris Career Center"	"Middleburg Heights, OH"
"Polk State College"	"Winter Haven, FL"
"Polytechnic University of Puerto Rico-Miami Campus"	"Miami, FL"
"Polytechnic University of Puerto Rico-Orlando Campus"	"Winter Park, FL"
"Pomeroy College of Nursing at Crouse Hospital"	"Syracuse, NY"
"Pomona College"	"Claremont, CA"
"Pomona Unified School District Adult and Career Education"	"Pomona, CA"
"Pontifical College Josephinum"	"Columbus, OH"
"Pontotoc Technology Center"	"Ada, OK"
"Porterville College"	"Porterville, CA"
"Portland Community College"	"Portland, OR"
"Portland State University"	"Portland, OR"
"Post University"	"Waterbury, CT"
"Potomac State College of West Virginia University"	"Keyser, WV"
"Prairie State College"	"Chicago Heights, IL"
"Prairie View A & M University"	"Prairie View, TX"
"Pratt Community College"	"Pratt, KS"
"Pratt Institute-Main"	"Brooklyn, NY"
"Praxis Institute"	"Miami, FL"
"Premiere Career College"	"Irwindale, CA"
"Presbyterian College"	"Clinton, SC"
"Prescott College"	"Prescott, AZ"
"Presentation College"	"Aberdeen, SD"
"Prestige Health & Beauty Sciences Academy"	"North Miami Beach, FL"
"Prince George's Community College"	"Largo, MD"
"Princeton Information Technology Center"	"Glenside, PA"
"Princeton University"	"Princeton, NJ"
"Principia College"	"Elsah, IL"
"Professional Career Training Institute"	"Houston, TX"
"Professional Golfers Career College"	"Temecula, CA"
"Professional Institute of Beauty"	"El Monte, CA"
"Professional Skills Institute"	"Toledo, OH"
"Providence College"	"Providence, RI"
"Purdue University Fort Wayne"	"Fort Wayne, IN"
"Purdue University Northwest"	"Hammond, IN"
"Putnam Career and Technical Center"	"Eleanor, WV"
"Queen City College"	"Clarksville, TN"
"Quincy College"	"Quincy, MA"
"Quincy University"	"Quincy, IL"
"Quinebaug Valley Community College"	"Danielson, CT"
"Quinnipiac University"	"Hamden, CT"
"Quinsigamond Community College"	"Worcester, MA"
"Radford M Locklin Technical Center"	"Milton, FL"
"Rainy River Community College"	"International Falls, MN"
"Randall University"	"Moore, OK"
"Randolph College"	"Lynchburg, VA"
"Randolph Community College"	"Asheboro, NC"
"Randolph-Macon College"	"Ashland, VA"
"Ranger College"	"Ranger, TX"
"Ranken Technical College"	"St. Louis, MO"
"Rappahannock Community College"	"Glenns, VA"
"Raritan Valley Community College"	"Branchburg, NJ"
"Ravenscroft Beauty College"	"Fort Wayne, IN"
"Razzle Dazzle College Inc"	"Nampa, ID"
"Reading Area Community College"	"Reading, PA"
"The Reading Hospital School of Health Sciences"	"Reading, PA"
"Red River Technology Center"	"Duncan, OK"
"Red Rocks Community College"	"Lakewood, CO"
"Redlands Community College"	"El Reno, OK"
"Reed College"	"Portland, OR"
"Reedley College"	"Reedley, CA"
"Refrigeration School"	"Phoenix, AZ"
"Reid State Technical College"	"Evergreen, AL"
"Reinhardt University"	"Waleska, GA"
"Rend Lake College"	"Ina, IL"
"Rensselaer Hartford Graduate Center Inc"	"Hartford, CT"
"Rensselaer Polytechnic Institute"	"Troy, NY"
"Renton Technical College"	"Renton, WA"
"Research College of Nursing"	"Kansas City, MO"
"The Restaurant School at Walnut Hill College"	"Philadelphia, PA"
"Resurrection University"	"Oak Park, IL"
"Reynolds Community College"	"Richmond, VA"
"Rhode Island College"	"Providence, RI"
"Rhode Island School of Design"	"Providence, RI"
"Rhodes College"	"Memphis, TN"
"Rice University"	"Houston, TX"
"Rich Mountain Community College"	"Mena, AR"
"Richard Bland College of the College of William and Mary"	"Petersburg, VA"
"Richland College"	"Dallas, TX"
"Richland Community College"	"Decatur, IL"
"Richmond Community College"	"Hamlet, NC"
"Richmond School of Health and Technology"	"Richmond, VA"
"Richmont Graduate University"	"Chattanooga, TN"
"Ridge Career Center"	"Winter Haven, FL"
"Ringling College of Art and Design"	"Sarasota, FL"
"Rio Hondo College"	"Whittier, CA"
"Rio Salado College"	"Tempe, AZ"
"Ripon College"	"Ripon, WI"
"River Parishes Community College"	"Sorrento, LA"
"River Valley Community College"	"Claremont, NH"
"Riverland Community College"	"Austin, MN"
"Riverside City College"	"Riverside, CA"
"Riverside School of Health Careers"	"Newport News, VA"
"Rivertown School of Beauty Barber Skin Care and Nails"	"Columbus, GA"
"Rivier University"	"Nashua, NH"
"Rizzieri Aveda School for Beauty and Wellness"	"Voorhees, NJ"
"Roanoke College"	"Salem, VA"
"Roanoke-Chowan Community College"	"Ahoskie, NC"
"Robert Morgan Educational Center"	"Miami, FL"
"Robert Morris University"	"Moon, PA"
"Robert Morris University Illinois"	"Chicago, IL"
"Roberts Wesleyan College"	"Rochester, NY"
"Robeson Community College"	"Lumberton, NC"
"Rochester Community and Technical College"	"Rochester, MN"
"Rochester Institute of Technology"	"Rochester, NY"
"Rochester University"	"Rochester Hills, MI"
"Rock Valley College"	"Rockford, IL"
"Rockefeller University"	"New York, NY"
"Rockford University"	"Rockford, IL"
"Rockingham Community College"	"Wentworth, NC"
"Rockland Community College"	"Suffern, NY"
"Rockland County BOCES-Practical Nursing Program"	"West Nyack, NY"
"Rocky Mountain College"	"Billings, MT"
"Rocky Mountain University of Health Professions"	"Provo, UT"
"Rocky Vista University"	"Parker, CO"
"Roger Williams University"	"Bristol, RI"
"Roger Williams University School of Law"	"Bristol, RI"
"Rogers State University"	"Claremore, OK"
"Rogue Community College"	"Grants Pass, OR"
"Rolla Technical Institute"	"Rolla, MO"
"Rollins College"	"Winter Park, FL"
"Roosevelt University"	"Chicago, IL"
"Rosalind Franklin University of Medicine and Science"	"North Chicago, IL"
"Rose State College"	"Midwest City, OK"
"Rose-Hulman Institute of Technology"	"Terre Haute, IN"
"Rosedale Technical College"	"Pittsburgh, PA"
"Roseman University"	"Henderson, NV"
"Rosemead Beauty School"	"Rosemead, CA"
"Rosemont College"	"Rosemont, PA"
"Ross College"	"Sylvania, OH"
"Ross Institute of Medical and Dental Technology"	"Cincinnati, OH"
"Ross Medical Education Center-Charleston"	"Charleston, WV"
"Ross Medical Education Center-Erlanger"	"Erlanger, KY"
"Ross Medical Education Center-Kokomo"	"Kokomo, IN"
"Rowan College at Burlington County"	"Pemberton, NJ"
"Rowan College of South Jersey"	"Sewell, NJ"
"Rowan University"	"Glassboro, NJ"
"Rowan-Cabarrus Community College"	"Salisbury, NC"
"Roxborough Memorial Hospital School of Nursing"	"Philadelphia, PA"
"Roxbury Community College"	"Roxbury Crossing, MA"
"Rudy & Kelly Academy of Hair and Nails"	"Virginia Beach, VA"
"Rush University"	"Chicago, IL"
"Rust College"	"Holly Springs, MS"
"Rutgers University"	"New Brunswick, NJ"
"Rutgers University - Bloustein School"	"New Brunswick, NJ"
"Rutgers University - Camden"	"Camden, NJ"
"Rutgers University-Newark"	"Newark, NJ"
"Saber"	"Miami, FL"
"Sacramento City College"	"Sacramento, CA"
"Saddleback College"	"Mission Viejo, CA"
"The Sage Colleges"	"Troy, NY"
"Saginaw Chippewa Tribal College"	"Mount Pleasant, MI"
"Saginaw Valley State University"	"University Center, MI"
"Saint Ambrose University"	"Davenport, IA"
"Saint Anselm College"	"Manchester, NH"
"Saint Anthony College of Nursing"	"Rockford, IL"
"Saint Augustine College"	"Chicago, IL"
"Saint Cloud State University"	"St. Cloud, MN"
"Saint Edward's University"	"Austin, TX"
"Saint Elizabeth School of Nursing"	"Lafayette, IN"
"Saint Francis Medical Center College of Nursing"	"Peoria, IL"
"Saint John's University - MN"	"Collegeville, MN"
"Saint Joseph's College - New York"	"Brooklyn, NY"
"Saint Leo University"	"St. Leo, FL"
"Saint Louis Community College"	"St. Louis, MO"
"Saint Louis University-Main Campus"	"St. Louis, MO"
"Saint Luke's College of Health Sciences"	"Kansas City, MO"
"Saint Martin's University"	"Lacey, WA"
"Saint Mary-of-the-Woods College"	"Saint Mary of the Woods, IN"
"Saint Mary's College - IN"	"Notre Dame, IN"
"Saint Mary's College of California"	"Moraga, CA"
"Saint Meinrad Seminary and School of Theology"	"Saint Meinrad, IN"
"Saint Michael's College"	"Colchester, VT"
"Saint Norbert College"	"De Pere, WI"
"Saint Paul College"	"Saint Paul, MN"
"Saint Thomas Aquinas College"	"Sparkill, NY"
"Saint Vincent College"	"Latrobe, PA"
"Salem College"	"Winston Salem, NC"
"Salem Community College"	"Carneys Point, NJ"
"Salem State University"	"Salem, MA"
"Salem University"	"Salem, WV"
"Salina Area Technical College"	"Salina, KS"
"Salisbury University"	"Salisbury, MD"
"Salish Kootenai College"	"Pablo, MT"
"Salon Professional Academy of Kenosha (The)"	"Kenosha, WI"
"The Salon Professional Academy-Huntsville"	"Huntsville, AL"
"The Salon Professional Academy-South Plainfield"	"South Plainfield, NJ"
"Salt Lake Community College"	"Salt Lake City, UT"
"The Salter School"	"New Bedford, MA"
"Salus University"	"Elkins Park, PA"
"Salve Regina University"	"Newport, RI"
"Sam Houston State University"	"Huntsville, TX"
"Samaritan Hospital School of Nursing"	"Troy, NY"
"Samford University"	"Birmingham, AL"
"Sampson Community College"	"Clinton, NC"
"Samuel Merritt University"	"Oakland, CA"
"San Antonio College"	"San Antonio, TX"
"San Bernardino Valley College"	"San Bernardino, CA"
"San Diego City College"	"San Diego, CA"
"San Diego Culinary Institute"	"San Diego, CA"
"San Diego Mesa College"	"San Diego, CA"
"San Diego Miramar College"	"San Diego, CA"
"San Diego State University"	"San Diego, CA"
"San Francisco Art Institute"	"San Francisco, CA"
"San Francisco Institute of Esthetics and Cosmetology"	"San Francisco, CA"
"San Francisco State University"	"San Francisco, CA"
"San Francisco Theological Seminary"	"San Anselmo, CA"
"San Jacinto Community College"	"Pasadena, TX"
"San Joaquin College of Law"	"Clovis, CA"
"San Jose City College"	"San Jose, CA"
"San Jose State University"	"San Jose, CA"
"San Juan College"	"Farmington, NM"
"Sandhills Community College"	"Pinehurst, NC"
"Santa Ana Beauty College"	"Santa Ana, CA"
"Santa Ana College"	"Santa Ana, CA"
"Santa Barbara City College"	"Santa Barbara, CA"
"Santa Clara University"	"Santa Clara, CA"
"Santa Fe College"	"Gainesville, FL"
"Santa Fe Community College"	"Santa Fe, NM"
"Santa Monica College"	"Santa Monica, CA"
"Santiago Canyon College"	"Orange, CA"
"Sarah Lawrence College"	"Bronxville, NY"
"Sarasota County Technical Institute"	"Sarasota, FL"
"Sauk Valley Community College"	"Dixon, IL"
"Savannah College of Art and Design"	"Savannah, GA"
"Savannah State University"	"Savannah, GA"
"Saybrook University Hybrid Online"	"Oakland, CA"
"Schenectady County Community College"	"Schenectady, NY"
"Schiller International University"	"Largo, FL"
"Schilling-Douglas School of Hair Design"	"Newark, DE"
"School for International Training"	"Brattleboro, VT"
"School of Automotive Machinists"	"Houston, TX"
"School of Missionary Aviation Technology"	"Ionia, MI"
"School of the Art Institute of Chicago"	"Chicago, IL"
"School of Visual Arts"	"New York, NY"
"Schoolcraft College"	"Livonia, MI"
"Schreiner University"	"Kerrville, TX"
"Schuyler-Steuben-Chemung-Tioga-Allegany BOCES"	"Hornell, NY"
"Schuylkill Technology Center"	"Frackville, PA"
"Scioto County Career Technical Center"	"Lucasville, OH"
"Scottsdale Community College"	"Scottsdale, AZ"
"Scripps College"	"Claremont, CA"
"Searcy Beauty College Inc"	"Searcy, AR"
"Seattle Central College"	"Seattle, WA"
"Seattle Pacific University"	"Seattle, WA"
"The Seattle School of Theology & Psychology"	"Seattle, WA"
"Seattle University"	"Seattle, WA"
"Selma University"	"Selma, AL"
"Seminar L'moros Bais Yaakov"	"Brooklyn, NY"
"Seminole State College"	"Seminole, OK"
"Sentara College of Health Sciences"	"Chesapeake, VA"
"Seton Hill University"	"Greensburg, PA"
"Sewanee-The University of the South"	"Sewanee, TN"
"Seward County Community College"	"Liberal, KS"
"Shasta College"	"Redding, CA"
"Shaw University"	"Raleigh, NC"
"Shawnee Community College"	"Ullin, IL"
"Shawnee State University"	"Portsmouth, OH"
"Shear Ego International School of Hair Design"	"Rochester, NY"
"Shear Finesse Hairstyling Academy"	"Jacksonville, FL"
"Shelton State Community College"	"Tuscaloosa, AL"
"Shenandoah University"	"Winchester, VA"
"Shepherds College"	"Union Grove, WI"
